Feature,Importance
EMA_26,0.29414577432204586
SMA_21,0.2638748791418314
Close,0.12314582977327872
Low,0.07974614823414794
High,0.06655595041147841
EMA_12,0.059544034398320844
BB_Upper,0.0533124075071103
Close_lag_1,0.029143165324026596
SMA_7,0.01674926803646564
Close_lag_2,0.008466212254072491
Close_lag_5,0.0029163761262616826
BB_Lower,0.00032966088881447445
Close_lag_4,0.00031178700586633124
Close_lag_3,0.0003003064284160628
Daily_Return,0.00017768671656042157
RSI_14,0.00015870710422229503
Volume_SMA_10,0.00014265797626548986
Volume,0.00013869348428095272
Return_lag_3,0.0001266711738255483
MACD_Hist,0.00012438852516681343
Return_lag_1,0.00012334563539147302
MACD_Signal,0.0001224156621004959
Return_lag_2,0.00011806202097868928
MACD,0.00011368250912843279
BB_Width,0.00011188933994271223
