Feature,Importance
Return_lag_1,0.12706322537874332
Daily_Return,0.11422714982843618
Return_lag_2,0.09540034239966146
MACD,0.07731171201385599
RSI_14,0.07616598550159512
BB_Width,0.07220122011700111
Volume,0.06443068508316045
Volume_SMA_10,0.0631641096284257
Return_lag_3,0.06308148650249533
MACD_Hist,0.03833778210815878
MACD_Signal,0.037843858071420336
BB_Lower,0.02234837699305601
Low,0.01941518403958864
Close,0.016097870650723156
Close_lag_5,0.014324630071434162
Close_lag_4,0.013522406554017792
Close_lag_1,0.011589996321911098
EMA_26,0.011584482198217814
BB_Upper,0.011195723420785984
Close_lag_3,0.010516984794652837
Close_lag_2,0.01001120392801516
High,0.008694225170867981
SMA_21,0.008311662015415026
EMA_12,0.007391651540669626
SMA_7,0.005768045667690859
