Feature,Importance
Daily_Return,0.11928338875229558
Dist_200SMA,0.07815388079524983
MACD,0.06720319704399111
MACD_Signal,0.06178664865384941
BB_Width,0.057520358132953406
Body_Ratio,0.054773283568967726
RSI_14,0.05227874049161943
Volume,0.046040902793441404
Volume_SMA_10,0.044340068066503625
Dist_to_SH,0.04289308822398417
Dist_PWL,0.040875314697677696
MACD_Hist,0.040688159840084344
Dist_PWH,0.03806933661665285
Dist_to_SL,0.027518546795518697
PD_Position,0.026571021396614505
BB_Upper,0.023859750684412814
Close,0.0175640270799312
Low,0.016588512118257886
SMA_21,0.016514725926462685
EMA_26,0.016246120793163937
SMA_7,0.01565201884441499
High,0.01541026115872357
BB_Lower,0.015079980910650676
EMA_12,0.014462342047094533
Bear_FVG_Count,0.009173835387838737
Month_Sin,0.008289202922712414
Month_Cos,0.00678925800207112
Bull_FVG_Count,0.006057872347811737
Quarter_Sin,0.00496372661075615
Structure_Bullish,0.0037144170364797956
Quarter_Cos,0.003536264920056289
Bear_OB_Count,0.0032751027472581597
Swept_Low,0.0019089806362218205
Bull_OB_Count,0.0013144951931301416
Displacement,0.0007857792577987855
Above_200SMA,0.000590820562379576
Swept_High,0.00022656894296935792
